,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
2122,COVIDhub:ensemble,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[278769.0, 325076.0, 361273.0, 388838.0, 419851.0, 436061.0, 474807.0]",560618.0,2.0,True,,0.949999898467627,0.95,0.0,474807.0,278769.0,388838.0,
2123,COVIDhub:baseline,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[285356.57255422603, 316492.676466765, 355495.097470975, 388452.0, 421404.34369343705, 460329.919516195, 491300.87522275205]",560618.0,2.0,True,,0.9499964337786385,0.95,0.0,491300.87522275205,285356.57255422603,388452.0,
2124,JHUAPL:Bucky,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[293437.45749286, 342315.595975261, 388032.94394031295, 440491.92856812204, 495464.761384977, 547741.074147969, 607613.36536958]",1018002.0,4.0,True,,0.9499990996604545,0.95,0.0,607613.36536958,293437.45749286,440491.92856812204,
2125,COVIDhub:ensemble,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[312392.0, 332972.0, 360710.0, 388452.0, 405350.0, 422750.0, 431219.0]",479514.0,1.0,True,,0.9499851541826383,0.95,0.0,431219.0,312392.0,388452.0,
2126,LANL:GrowthRate,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[201302.91216574897, 241305.273531877, 279972.507259036, 320366.913662444, 351282.350041455, 376387.204624161, 423957.370615604]",479514.0,1.0,True,,0.9499995720042005,0.95,0.0,423957.370615604,201302.91216574897,320366.913662444,
2127,CU:select,2020-10-22,16,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[281556.0, 336192.0, 400699.0, 489739.0, 601340.0, 721849.0, 921121.0]",766435.0,3.0,True,-12.452070414594782,0.9499995320520325,0.95,5.465028431739238e-07,921121.0,281556.0,489739.0,505.7463238428136
2128,CU:scenario_mid,2020-10-22,23,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[270118.0, 333371.0, 405403.0, 508501.0, 642060.0, 786215.0, 1027071.0]",1018002.0,4.0,True,-17.841886026882758,0.9499996167626354,0.95,3.2031124475029316e-08,1027071.0,270118.0,508501.0,7487.146381345426
2129,LANL:GrowthRate,2020-10-22,9,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[177843.693570309, 239051.36952056302, 300266.83547338, 381604.334690582, 452165.067740688, 497675.91964097205, 606562.225035952]",560618.0,2.0,True,-12.511360372448436,0.949999693529766,0.95,6.203287656603163e-07,606562.225035952,177843.693570309,381604.334690582,520.9636065404704
2130,CU:select,2020-10-22,23,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[270118.0, 333371.0, 405403.0, 508501.0, 642060.0, 786215.0, 1027071.0]",1018002.0,4.0,True,-17.841886026882758,0.9499996167626354,0.95,3.2031124475029316e-08,1027071.0,270118.0,508501.0,7487.146381345426
2131,CU:nochange,2020-10-22,30,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[225909.0, 312642.0, 433199.0, 640063.0, 929685.0, 1315087.0, 2128883.0]",1186501.0,5.0,True,-12.982059224915915,0.9499996470324311,0.95,3.369848899648087e-07,2128883.0,225909.0,640063.0,659.2017362445754
2132,CU:nochange,2020-10-22,9,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[308912.0, 343877.0, 383885.0, 439332.0, 502212.0, 565314.0, 663622.0]",560618.0,2.0,True,-10.810951089584574,0.9499993015522501,0.95,1.451647280520385e-06,663622.0,308912.0,439332.0,222.62206207788105
2133,CU:scenario_low,2020-10-22,16,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[251786.0, 298858.0, 350790.0, 431670.0, 531616.0, 646235.0, 842347.0]",766435.0,3.0,True,-13.386241014823007,0.9499995112164356,0.95,3.42562529870305e-07,842347.0,251786.0,431670.0,806.8360658403008
2134,CU:scenario_mid,2020-10-22,16,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[281556.0, 336192.0, 400699.0, 489739.0, 601340.0, 721849.0, 921121.0]",766435.0,3.0,True,-12.452070414594782,0.9499995320520325,0.95,5.465028431739238e-07,921121.0,281556.0,489739.0,505.7463238428136
2135,CU:scenario_mid,2020-10-22,30,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[265789.0, 330423.0, 406862.0, 513854.0, 651670.0, 804217.0, 1059784.0]",1186501.0,5.0,True,,0.9499996035197769,0.95,0.0,1059784.0,265789.0,513854.0,
2136,CU:nochange,2020-10-22,23,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[241450.0, 313896.0, 407531.0, 562408.0, 766148.0, 1008899.0, 1491709.0]",1018002.0,4.0,True,-13.628838336230562,0.9499996059733581,0.95,2.6328363608718597e-07,1491709.0,241450.0,562408.0,910.8872897221157
2137,CU:scenario_high,2020-10-22,30,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[263615.0, 353674.0, 464927.0, 648687.0, 894550.0, 1197883.0, 1783497.0]",1186501.0,5.0,True,-13.621473908319924,0.9499996989099968,0.95,2.4477287768887024e-07,1783497.0,263615.0,648687.0,907.5393754832237
2138,LANL:GrowthRate,2020-10-22,23,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[74292.7046581069, 114999.039859777, 171957.643919597, 254584.525981913, 363221.506512789, 479806.572092004, 633946.3608622879]",1018002.0,4.0,True,,0.949999196992152,0.95,0.0,633946.3608622879,74292.7046581069,254584.525981913,
2139,CU:select,2020-10-22,9,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[309700.0, 345785.0, 386812.0, 443592.0, 507706.0, 574928.0, 673523.0]",560618.0,2.0,True,-10.434769909594834,0.9499993299028383,0.95,1.7520553020899943e-06,673523.0,309700.0,443592.0,184.4512046016439
2140,CU:select,2020-10-22,30,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[265789.0, 330423.0, 406862.0, 513854.0, 651670.0, 804217.0, 1059784.0]",1186501.0,5.0,True,,0.9499996035197769,0.95,0.0,1059784.0,265789.0,513854.0,
2141,LANL:GrowthRate,2020-10-22,16,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[110712.20818473099, 161352.704500819, 225567.441954169, 310786.838014098, 415746.172856188, 506001.523080545, 633914.849716507]",766435.0,3.0,True,,0.9499994479496452,0.95,0.0,633914.849716507,110712.20818473099,310786.838014098,
